Coin Name,Ticker,X-Spot-Id,X-Post-Id,Conversation Id
Bitcoin,BTC-USD,sp_Rba9aFpG,finmb$BTC$CCC,sp_Rba9aFpG_finmb$BTC$CCC
Ethereum,ETH-USD,sp_Rba9aFpG,finmb$ETH$CCC,sp_Rba9aFpG_finmb$ETH$CCC
Tether,USDT-USD,sp_Rba9aFpG,finmb$USDT$CCC,sp_Rba9aFpG_finmb$USDT$CCC
BNB,BNB-USD,sp_Rba9aFpG,finmb$BNB$CCC,sp_Rba9aFpG_finmb$BNB$CCC
XRP,XRP-USD,sp_Rba9aFpG,finmb$XRP$CCC,sp_Rba9aFpG_finmb$XRP$CCC
USDC,USDC-USD,sp_Rba9aFpG,finmb$USDC$CCC,sp_Rba9aFpG_finmb$USDC$CCC
Solana,SOL-USD,sp_Rba9aFpG,finmb$SOL$CCC,sp_Rba9aFpG_finmb$SOL$CCC
Lido Staked Ether,STETH-USD,sp_Rba9aFpG,finmb$STETH$CCC,sp_Rba9aFpG_finmb$STETH$CCC
Cardano,ADA-USD,sp_Rba9aFpG,finmb$ADA$CCC,sp_Rba9aFpG_finmb$ADA$CCC
Dogecoin,DOGE-USD,sp_Rba9aFpG,finmb$DOGE$CCC,sp_Rba9aFpG_finmb$DOGE$CCC
TRON,TRX-USD,sp_Rba9aFpG,finmb$TRX$CCC,sp_Rba9aFpG_finmb$TRX$CCC
Toncoin,TON-USD,sp_Rba9aFpG,finmb$TON$CCC,sp_Rba9aFpG_finmb$TON$CCC
Chainlink,LINK-USD,sp_Rba9aFpG,finmb$LINK$CCC,sp_Rba9aFpG_finmb$LINK$CCC
Avalanche,AVAX-USD,sp_Rba9aFpG,finmb$AVAX$CCC,sp_Rba9aFpG_finmb$AVAX$CCC
Polygon,MATIC-USD,sp_Rba9aFpG,finmb$MATIC$CCC,sp_Rba9aFpG_finmb$MATIC$CCC
Polkadot,DOT-USD,sp_Rba9aFpG,finmb$DOT$CCC,sp_Rba9aFpG_finmb$DOT$CCC
Wrapped Bitcoin,WBTC-USD,sp_Rba9aFpG,finmb$WBTC$CCC,sp_Rba9aFpG_finmb$WBTC$CCC
Dai,DAI-USD,sp_Rba9aFpG,finmb$DAI$CCC,sp_Rba9aFpG_finmb$DAI$CCC
Litecoin,LTC-USD,sp_Rba9aFpG,finmb$LTC$CCC,sp_Rba9aFpG_finmb$LTC$CCC
Shiba Inu,SHIB-USD,sp_Rba9aFpG,finmb$SHIB$CCC,sp_Rba9aFpG_finmb$SHIB$CCC
Bitcoin Cash,BCH-USD,sp_Rba9aFpG,finmb$BCH$CCC,sp_Rba9aFpG_finmb$BCH$CCC
Uniswap,UNI-USD,sp_Rba9aFpG,finmb$UNI$CCC,sp_Rba9aFpG_finmb$UNI$CCC
LEO Token,LEO-USD,sp_Rba9aFpG,finmb$LEO$CCC,sp_Rba9aFpG_finmb$LEO$CCC
OKB,OKB-USD,sp_Rba9aFpG,finmb$OKB$CCC,sp_Rba9aFpG_finmb$OKB$CCC
TrueUSD,TUSD-USD,sp_Rba9aFpG,finmb$TUSD$CCC,sp_Rba9aFpG_finmb$TUSD$CCC
Stellar,XLM-USD,sp_Rba9aFpG,finmb$XLM$CCC,sp_Rba9aFpG_finmb$XLM$CCC
Monero,XMR-USD,sp_Rba9aFpG,finmb$XMR$CCC,sp_Rba9aFpG_finmb$XMR$CCC
Kaspa,KAS-USD,sp_Rba9aFpG,finmb$KAS$CCC,sp_Rba9aFpG_finmb$KAS$CCC
Ethereum Classic,ETC-USD,sp_Rba9aFpG,finmb$ETC$CCC,sp_Rba9aFpG_finmb$ETC$CCC
Cosmos Hub,ATOM-USD,sp_Rba9aFpG,finmb$ATOM$CCC,sp_Rba9aFpG_finmb$ATOM$CCC
Cronos,CRO-USD,sp_Rba9aFpG,finmb$CRO$CCC,sp_Rba9aFpG_finmb$CRO$CCC
